ISIN;WKN;Typ;Sparplan;Name
AN8068571086;853390;AKTIE;Ja;SCHLUMBERGER DL-,01
AT000000ETS9;A3EVYK;AKTIE;Ja;EUROTELESITES AG INH.
AT000000STR1;A0M23V;AKTIE;Ja;STRABAG SE
AT00000AMAG3;A1JFYU;AKTIE;Ja;AMAG AUSTRIA METALL INH.
AT00000FACC2;A1147K;AKTIE;Ja;FACC AG INH.AKT.
AT00000VIE62;A2AMK9;AKTIE;Ja;FLUGHAFEN WIEN AG
AT0000495288;A0F50W;FONDS;Nein;Raiffeisen-TopDividende-Aktien (R) A
AT0000600671;A0D9BV;FONDS;Nein;KEPLER Realzins Plus Rentenfonds - EUR ACC
AT0000606306;A0D9SU;AKTIE;Ja;RAIFFEISEN BK INTL INH.
AT0000609607;850185;AKTIE;Ja;PORR AG
AT0000615836;A0KFXB;FONDS;Nein;ARIQON Konservativ R T
AT0000634704;A0B6WX;FONDS;Nein;C-QUADRAT ARTS Total Return Balanced T
AT0000634712;A0B6WY;FONDS;Nein;C-QUADRAT ARTS Total Return Bond
AT0000634720;A0B6WZ;FONDS;Nein;C-QUADRAT ARTS Total Return Bond T
AT0000636733;A0B9ES;FONDS;Nein;Raiffeisen-EmergingMarkets-Rent (R) A
AT0000636758;A0B9EU;FONDS;Nein;Raiffeisen-EmergingMarkets-Rent (R) VTA
AT0000641352;876520;AKTIE;Ja;CA IMMOB.ANL.
AT0000642632;690005;FONDS;Nein;KEPLER Ethik Rentenfonds (T)
AT0000644505;852927;AKTIE;Ja;LENZING AG
AT0000645973;A0KFYK;FONDS;Nein;ERSTE RESPONSIBLE STOCK EUROPE EUR R01 T
AT0000646799;A0J36T;FONDS;Nein;ERSTE RESPONSIBLE STOCK GLOBAL EUR R01 T
AT0000652011;909943;AKTIE;Ja;ERSTE GROUP BNK INH. O.N.
AT0000653662;675304;FONDS;Nein;KEPLER Small Cap Aktienfonds (A)
AT0000653670;784560;FONDS;Nein;KEPLER Small Cap Aktienfonds (T)
AT0000653696;A0EANF;FONDS;Nein;KEPLER High Grade Corporate Rentenfonds (T)
AT0000671896;570744;FONDS;Nein;Amundi Öko Sozial Euro Government Bond - VA (C)
AT0000673165;A0LCY5;FONDS;Nein;ERSTE STOCK BIOTEC EUR R01 VTA
AT0000674916;577661;FONDS;Nein;Amundi Gold Stock - VA (C)
AT0000675657;693479;FONDS;Nein;KEPLER Ethik Aktienfonds (A)
AT0000675665;693474;FONDS;Nein;KEPLER Ethik Aktienfonds (T)
AT0000675764;662827;FONDS;Nein;ERSTE BOND USA CORPORATE EUR R01 A
AT0000675772;662828;FONDS;Nein;ERSTE BOND USA CORPORATE EUR R01 T
AT0000677901;633634;FONDS;Nein;Raiffeisen-Nachhaltigkeit-Aktien (R) A
AT0000677927;633636;FONDS;Nein;Raiffeisen-Nachhaltigkeit-Aktien (R) VTA
AT0000686084;A0KFXN;FONDS;Nein;ERSTE RESPONSIBLE BOND EUR R01 T
AT0000688668;A0B70A;FONDS;Nein;Raiffeisen-Energie-Aktien (R) A
AT0000688676;A0D90Y;FONDS;Nein;Raiffeisen-Energie-Aktien (R) T
AT0000688684;A0B70D;FONDS;Nein;Raiffeisen-Energie-Aktien (R) VTA
AT0000700786;765457;FONDS;Nein;ERSTE MORTGAGE EUR R01 T
AT0000704333;694675;FONDS;Nein;ERSTE STOCK ISTANBUL EUR R01 A
AT0000704341;694674;FONDS;Nein;ERSTE STOCK ISTANBUL EUR R01 T
AT0000707401;A0B5RD;FONDS;Nein;VPI World Invest TM T
AT0000712518;113595;FONDS;Nein;Raiffeisen-Euro-Corporates (R) A
AT0000712526;727519;FONDS;Nein;Raiffeisen-Euro-Corporates (R) T
AT0000712534;113597;FONDS;Nein;Raiffeisen-Euro-Corporates (R) VTA
AT0000720008;588811;AKTIE;Ja;TELEKOM AUSTRIA AG
AT0000722640;632986;FONDS;Nein;KEPLER Vorsorge Mixfonds (T)
AT0000722673;632988;FONDS;Nein;KEPLER Europa Rentenfonds (T)
AT0000724216;676316;FONDS;Nein;ERSTE BOND EURO CORPORATE EUR R01 A
AT0000724224;676317;FONDS;Nein;ERSTE BOND EURO CORPORATE EUR R01 T
AT0000724257;676318;FONDS;Nein;ERSTE BOND DOLLAR CORPORATE EUR R01 A
AT0000724307;778238;FONDS;Nein;ERSTE RESERVE EURO EUR R01 T
AT0000730007;632305;AKTIE;Ja;ANDRITZ AG
AT0000740642;591726;FONDS;Nein;Raiffeisen-Osteuropa-Rent (R) A
AT0000740659;591727;FONDS;Nein;Raiffeisen-Osteuropa-Rent (R) T
AT0000740667;622854;FONDS;Nein;Raiffeisen-Osteuropa-Rent (R) VTA
AT0000741053;878279;AKTIE;Ja;EVN AG
AT0000743059;874341;AKTIE;Ja;OMV AG
AT0000745856;591730;FONDS;Nein;Raiffeisen-Eurasien-Aktien (R) A
AT0000745864;591731;FONDS;Nein;Raiffeisen-Eurasien-Aktien (R) T
AT0000745872;622888;FONDS;Nein;Raiffeisen-Eurasien-Aktien (R) VTA
AT0000746409;877738;AKTIE;Ja;VERBUND AG INH. A
AT0000746748;676337;FONDS;Nein;ERSTE STOCK BIOTEC EUR R01 A
AT0000746755;676338;FONDS;Nein;ERSTE STOCK BIOTEC EUR R01 T
AT0000754270;937539;FONDS;Nein;Amundi Healthcare Stock - A (D)
AT0000754668;164689;FONDS;Nein;KEPLER Liquid Rentenfonds - EUR DIS
AT0000758305;919964;AKTIE;Ja;PALFINGER AG
AT0000765573;622902;FONDS;Nein;Raiffeisen-Nachhaltigkeit-ÖsterreichPlus-Aktien (R) VTA
AT0000768296;926219;FONDS;Nein;IQAM Bond Corporate (RT)
AT0000774492;926218;FONDS;Nein;IQAM Bond Corporate (RA)
AT0000779764;A0HGT7;FONDS;Nein;Kathrein Euro Bond (R) A
AT0000779772;A0DJ9C;FONDS;Nein;Kathrein Euro Bond (R) T
AT0000779798;A0D9FQ;FONDS;Nein;Kathrein Corporate Bond (R) T
AT0000781588;A0DQNJ;FONDS;Nein;Macquarie Portfolio Three
