Date,Ticker,Rank
3/15/2024,CMI,1
3/15/2024,CNQ,2
3/15/2024,SMCI,3
3/15/2024,TMUS,4
3/15/2024,GM,5
3/31/2024,TRP,1
3/31/2024,TMUS,2
3/31/2024,GM,3
3/31/2024,CHTR,4
3/31/2024,OXY,5
4/15/2024,TMUS,1
4/15/2024,OXY,2
4/15/2024,CHTR,3
4/15/2024,GM,4
4/15/2024,COIN,5
4/30/2024,TMUS,1
4/30/2024,OXY,2
4/30/2024,CHTR,3
4/30/2024,GM,4
4/30/2024,MRNA,5
5/15/2024,TMUS,1
5/15/2024,CHTR,2
5/15/2024,OXY,3
5/15/2024,GM,4
5/15/2024,MRNA,5
5/31/2024,TMUS,1
5/31/2024,CHTR,2
5/31/2024,OXY,3
5/31/2024,MRNA,4
5/31/2024,GM,5
6/15/2024,CNQ,1
6/15/2024,TMUS,2
6/15/2024,CHTR,3
6/15/2024,MRNA,4
6/15/2024,GM,5
6/30/2024,CHTR,1
6/30/2024,TRP,2
6/30/2024,MRNA,3
6/30/2024,RCL,4
6/30/2024,PAYX,5
7/15/2024,CHTR,1
7/15/2024,RCL,2
7/15/2024,MRNA,3
7/15/2024,COIN,4
7/15/2024,RIVN,5
7/31/2024,CHTR,1
7/31/2024,MRNA,2
7/31/2024,RCL,3
7/31/2024,PAYX,4
7/31/2024,RIVN,5
8/15/2024,CHTR,1
8/15/2024,APTV,2
8/15/2024,RCL,3
8/15/2024,PAYX,4
8/15/2024,MRNA,5
8/31/2024,CHTR,1
8/31/2024,CNQ,2
8/31/2024,SU,3
8/31/2024,APTV,4
8/31/2024,PAYX,5
9/15/2024,CNQ,1
9/15/2024,CHTR,2
9/15/2024,PAYX,3
9/15/2024,NU,4
9/15/2024,COR,5
9/30/2024,CHTR,1
9/30/2024,APP,2
9/30/2024,NU,3
9/30/2024,PAYX,4
9/30/2024,COR,5
10/15/2024,CHTR,1
10/15/2024,APP,2
10/15/2024,PAYX,3
10/15/2024,NU,4
10/15/2024,COR,5
10/31/2024,CHTR,1
10/31/2024,APP,2
10/31/2024,PAYX,3
10/31/2024,NU,4
10/31/2024,IP,5
11/15/2024,APP,1
11/15/2024,CHTR,2
11/15/2024,IP,3
11/15/2024,COR,4
11/15/2024,PAYX,5
11/30/2024,APP,1
11/30/2024,CHTR,2
11/30/2024,SPOT,3
11/30/2024,RCL,4
11/30/2024,IP,5
12/15/2024,APP,1
12/15/2024,CHTR,2
12/15/2024,SPOT,3
12/15/2024,CNQ,4
12/15/2024,RDDT,5
12/31/2024,APP,1
12/31/2024,CHTR,2
12/31/2024,RDDT,3
12/31/2024,KR,4
12/31/2024,IP,5
1/15/2025,APP,1
1/15/2025,CHTR,2
1/15/2025,RDDT,3
1/15/2025,KR,4
1/15/2025,IP,5
1/31/2025,APP,1
1/31/2025,CHTR,2
1/31/2025,RDDT,3
1/31/2025,KR,4
1/31/2025,COR,5
2/15/2025,QQQ,1
2/15/2025,TLT,2
2/15/2025,MSTR,3
2/15/2025,APP,4
2/15/2025,APO,5
